127	1
126	3
125	1
124	7
123	1
122	3
121	1
120	15
119	1
118	3
117	1
116	7
115	1
114	3
113	1
112	31
111	1
110	3
109	1
108	7
107	1
106	3
105	1
104	15
103	1
102	3
101	1
100	7
99	1
98	3
97	1
96	63
95	1
94	3
93	1
92	7
91	1
90	3
89	1
88	15
87	1
86	3
85	1
84	7
83	1
82	3
81	1
80	31
79	1
78	3
77	1
76	7
75	1
74	3
73	1
72	15
71	1
70	3
69	1
68	7
67	1
66	3
65	1
64	127
63	1
62	3
61	1
60	7
59	1
58	3
57	1
56	15
55	1
54	3
53	1
52	7
51	1
50	3
49	1
48	31
47	1
46	3
45	1
44	7
43	1
42	3
41	1
40	15
39	1
38	3
37	1
36	7
35	1
34	3
33	1
32	63
31	1
30	3
29	1
28	7
27	1
26	3
25	1
24	15
23	1
22	3
21	1
20	7
19	1
18	3
17	1
16	31
15	1
14	3
13	1
12	7
11	1
10	3
9	1
8	15
7	1
6	3
5	1
4	7
3	1
2	3
1	1
